district,week,Latitude,Longitude,Acute Diarrhoeal Disease_proba_rf,Acute Diarrhoeal Disease_pred_rf,Acute Diarrhoeal Disease_proba_lr,Acute Diarrhoeal Disease_pred_lr,Acute Encephalitis Syndrome_proba_rf,Acute Encephalitis Syndrome_pred_rf,Acute Encephalitis Syndrome_proba_lr,Acute Encephalitis Syndrome_pred_lr,Acute Gastroenteritis_proba_rf,Acute Gastroenteritis_pred_rf,Acute Gastroenteritis_proba_lr,Acute Gastroenteritis_pred_lr,Chikungunya_proba_rf,Chikungunya_pred_rf,Chikungunya_proba_lr,Chikungunya_pred_lr,Cholera_proba_rf,Cholera_pred_rf,Cholera_proba_lr,Cholera_pred_lr,Dengue_proba_rf,Dengue_pred_rf,Dengue_proba_lr,Dengue_pred_lr,Malaria_proba_rf,Malaria_pred_rf,Malaria_proba_lr,Malaria_pred_lr,Acute Diarrhoeal Disease_alert,Acute Encephalitis Syndrome_alert,Acute Gastroenteritis_alert,Chikungunya_alert,Cholera_alert,Dengue_alert,Malaria_alert
Saraikela Kharsawan,1970-01-01 00:00:00.000000048,22.7464225,85.91689291,0.26577808145203285,0,0.47421011052973644,0,0.8897806982043933,1,0.26976063394686545,0,0.9043464944771371,1,0.9951461956269566,1,0.8333636183455023,1,0.6369968541039209,1,0.6944378333707295,1,0.547692583697413,1,0.464531856934348,0,0.527081461243822,1,0.9387212576756734,1,0.7218111228086675,1,Safe,Alert,Alert,Alert,Alert,Watch,Alert
Satara,1970-01-01 00:00:00.000000050,17.63612885,74.29827808,0.3178812210613911,1,0.4096056478911006,0,0.9968875871899998,1,0.9623207212042656,1,0.9951418881947928,1,0.9924307958524143,1,0.14683627589756643,0,0.16837399600912972,0,0.9160653274194385,1,0.6964653297558323,1,0.21257552715084665,0,0.4823349138781463,0,0.9676078465007901,1,0.8980329577956107,1,Watch,Alert,Alert,Safe,Alert,Safe,Alert
Satna,1970-01-01 00:00:00.000000042,24.5,81.0,0.340385925777767,1,0.5047649484860219,1,0.919132576939356,1,0.28603501843921253,0,0.9827688235812732,1,0.9985240075029372,1,0.8699515316819406,1,0.6796724733823271,1,0.8547060809781792,1,0.5432324890911034,1,0.8201389213855813,1,0.5767622083105851,1,0.2206753491469938,0,0.4893528766699415,0,Watch,Alert,Alert,Alert,Alert,Alert,Safe
Sehore,1970-01-01 00:00:00.000000047,23.1156882,77.06623939,0.2779047890844246,0,0.3216319244410661,0,0.9970220270806862,1,0.9961322403101974,1,0.9617729371340643,1,0.9999252361411787,1,0.4330202659479325,0,0.05197141998809212,0,0.7304898442441078,1,0.636981128522256,1,0.6620541250552692,1,0.4402319702301991,0,0.7686204255246141,1,0.5375083433635034,1,Safe,Alert,Alert,Watch,Alert,Alert,Alert
Seoni,1970-01-01 00:00:00.000000032,22.2758789,79.72104465,0.41273071905970143,1,0.5219654305156549,1,0.9894427126139624,1,0.957767301572631,1,0.9800810091860922,1,0.9759536890456053,1,0.8847391715414141,1,0.6953638820050344,1,0.8337033158822711,1,0.6407494564465188,1,0.8534724913270149,1,0.6242415657770531,1,0.6981734739561547,1,0.45131073720016884,0,Watch,Alert,Alert,Alert,Alert,Alert,Alert
Seppa Town,1970-01-01 00:00:00.000000019,27.3594183,93.0406098,0.2956471787396991,1,0.300012994608323,0,0.9465018492082183,1,0.9472607215558345,1,0.9775057689382393,1,0.9783227580178092,1,0.9126818844421598,1,0.8244706956650485,1,0.8094515699236442,1,0.48281041376145134,0,0.8970757585557169,1,0.7734236049844427,1,0.9166614685253778,1,0.6862981686472474,1,Safe,Alert,Alert,Alert,Alert,Alert,Alert
Shahdol,1970-01-01 00:00:00.000000044,23.3002343,81.364771,0.39060234369664487,1,0.5056249494294311,1,0.9442744863928442,1,0.7370510510618116,1,0.9655370719587377,1,0.9914940480001551,1,0.9075467412586048,1,0.6781635599688043,1,0.7569873771385083,1,0.5569784234386305,1,0.8615540239360585,1,0.5580053887152143,1,0.8330264745634804,1,0.4973069922223929,0,Watch,Alert,Alert,Alert,Alert,Alert,Alert
Shajapur,1970-01-01 00:00:00.000000035,23.37074105,76.62051527,0.3139204604999655,1,0.3806166013804754,0,0.9962189682270648,1,0.9966377436902982,1,0.994864393856717,1,0.9981719293012862,1,0.8629136128082462,1,0.7099242050609377,1,0.5139910266104306,1,0.5488112788788421,1,0.8303796471157247,1,0.6915594888818345,1,0.7088417091127349,1,0.5750708600501265,1,Watch,Alert,Alert,Alert,Watch,Alert,Alert
Sheikhpura,1970-01-01 00:00:00.000000034,25.12635425,85.81510621,0.3272150446005391,1,0.4602458305337104,0,0.9286646197492066,1,0.6186609722024043,1,0.9780613957754862,1,0.9634517536927226,1,0.9757375860525157,1,0.8571415652362326,1,0.8706306437447928,1,0.41837745103126933,0,0.8174609669612058,1,0.6070872281426254,1,0.1859021277900033,0,0.28170535991844153,0,Watch,Alert,Alert,Alert,Alert,Alert,Safe
Shimla,1970-01-01 00:00:00.000000036,31.1041526,77.1709729,0.3922041593837251,1,0.4676962599912361,0,0.7949577121134805,1,0.4993229349983668,0,0.9678110560022354,1,0.7696632238545745,1,0.8327019681255546,1,0.8567506584910799,1,0.2816776327763331,1,0.4800861942061071,0,0.8081422308840877,1,0.7189982305396416,1,0.8726940728259485,1,0.567065461623098,1,Watch,Alert,Alert,Alert,Safe,Alert,Alert
Shimoga,1970-01-01 00:00:00.000000046,13.9326093,75.574978,0.30439982736982285,1,0.4841013629640471,0,0.995899551405389,1,0.9876265692689197,1,0.9923235784383493,1,0.9984859085451773,1,0.17872258514859068,0,0.1727976257686195,0,0.7629402436062881,1,0.6531820053640917,1,0.33850070987735226,0,0.4452412375073526,0,0.9818368027938673,1,0.9036811388232144,1,Watch,Alert,Alert,Safe,Alert,Watch,Alert
Shivamogga,1970-01-01 00:00:00.000000024,13.9326093,75.574978,0.31706735019729393,1,0.3741711570029881,0,0.9971500276843263,1,0.9996610100171183,1,0.9824813594281043,1,0.8768129735406013,1,0.682767041039169,1,0.3734787483462014,0,0.7299721988784955,1,0.6601212020992222,1,0.6941307284566816,1,0.5003152283875073,1,0.9471795959795076,1,0.9216460713385319,1,Watch,Alert,Alert,Alert,Alert,Alert,Alert
Shivpuri,1970-01-01 00:00:00.000000040,25.37524125,77.82811933,0.28805014097979154,0,0.517824486778403,1,0.9418818779242836,1,0.9579421019797681,1,0.9735426267362065,1,0.9926849426681585,1,0.7661310726033186,1,0.7403258849973816,1,0.8494691957328924,1,0.5054969434466531,1,0.3233497375038007,0,0.5071762330651747,1,0.6758645093489106,1,0.40736920967580215,0,Safe,Alert,Alert,Alert,Alert,Watch,Alert
Sholapur,1970-01-01 00:00:00.000000045,17.6912883,75.8841635,0.39228797759409567,1,0.5612780306171328,1,0.9839219770666261,1,0.994404081868301,1,0.9950120594526916,1,0.9952638537791547,1,0.6024361899565883,1,0.29217268733731483,0,0.8442799073157096,1,0.7197862972080862,1,0.3539188084911993,0,0.5703201897098027,1,0.9692022120722261,1,0.7490293330375704,1,Watch,Alert,Alert,Alert,Alert,Watch,Alert
Shopian,1970-01-01 00:00:00.000000035,33.718807,74.8333311,0.25448433756395933,0,0.43700794511733715,0,0.9545146755079568,1,0.9537397011682068,1,0.9936706572154053,1,0.996005522285304,1,0.949599914217794,1,0.7651946669246626,1,0.8802059554245094,1,0.45556114347905574,0,0.9304684164415927,1,0.8317511561320355,1,0.972503712190312,1,0.36490747177105043,0,Safe,Alert,Alert,Alert,Alert,Alert,Alert
Sibsagar,1970-01-01 00:00:00.000000045,26.96388985,94.58213345,0.3381626308740893,1,0.3618766701823929,0,0.6616582497289729,1,0.13389693344359302,0,0.981411334679025,1,0.9794624919113067,1,0.8924843813711798,1,0.8740463923657735,1,0.23647106231535062,1,0.4668128131974386,0,0.8014998339583038,1,0.672699480548806,1,0.8889955404605464,1,0.5098009983685152,1,Watch,Alert,Alert,Alert,Safe,Alert,Alert
Siddharth Nagar,1970-01-01 00:00:00.000000043,27.25264095,82.86964796,0.37312962295675606,1,0.48735521268051835,0,0.8167417318921154,1,0.2956474002665982,0,0.9980876224767286,1,0.9966808686996113,1,0.8919461484737525,1,0.744684032755533,1,0.3264075266119382,1,0.44424403053206835,0,0.8170987038136149,1,0.6313670667880407,1,0.9020539497692776,1,0.5522433112881451,1,Watch,Alert,Alert,Alert,Watch,Alert,Alert
Sidhi,1970-01-01 00:00:00.000000034,24.25,82.0,0.3994215588248717,1,0.34203699330706977,0,0.9849719142461997,1,0.9814584330368123,1,0.9536768111114253,1,0.980980122556786,1,0.9100603786712445,1,0.7617916144855833,1,0.9320956023873184,1,0.9348132189830515,1,0.8099178656097921,1,0.5695687260055795,1,0.07711321146410899,0,0.000931483557004213,0,Watch,Alert,Alert,Alert,Alert,Alert,Safe
Sikar,1970-01-01 00:00:00.000000041,27.662826,75.02792629,0.4413717570145348,1,0.5598865287573003,1,0.991192591349401,1,0.9990375370258333,1,0.9711721350619327,1,0.9956635270947198,1,0.8357322040449127,1,0.49003429625945333,0,0.7802236517445258,1,0.5192905745527663,1,0.7494164966046215,1,0.6914298267168204,1,0.8888182763303292,1,0.3753613957562212,0,Watch,Alert,Alert,Alert,Alert,Alert,Alert
